http://www.i28.com/jordan-%E4%B9%94%E4%B8%B9-c-995/;Jordan 乔丹
http://www.i28.com/adidas-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-987/;Adidas 跑步鞋
http://www.i28.com/adidas-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1030/;Adidas 篮球鞋
http://www.i28.com/adidas-boost-c-983/;Adidas Boost
http://www.i28.com/adidas-nmd-c-1032/;Adidas NMD
http://www.i28.com/adidas-tubular-c-1074/;Adidas Tubular
http://www.i28.com/adidas-yeezy-c-985/;Adidas Yeezy
http://www.i28.com/adidas-%E4%B8%89%E5%8F%B6%E8%8D%89-c-1034/;Adidas 三叶草
http://www.i28.com/nike-%E7%AF%AE%E7%90%83%E9%9E%8B-c-1125/;Nike 篮球鞋
http://www.i28.com/nike-%E6%BB%91%E6%9D%BF%E9%9E%8B-c-1008/;Nike 滑板鞋
http://www.i28.com/nike-%E6%B0%94%E5%9E%AB%E9%9E%8B-c-1001/;Nike 气垫鞋
http://www.i28.com/nike-%E8%B7%91%E6%AD%A5%E9%9E%8B-c-1014/;Nike 跑步鞋
http://www.i28.com/nike-%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1006/;Nike 运动鞋
http://www.i28.com/new-balance-c-997/;New Balance
http://www.i28.com/under-armour-c-1135/;Under Armour
http://www.i28.com/converse-%E5%8C%A1%E5%A8%81-c-991/;Converse 匡威
http://www.i28.com/vans-%E4%B8%87%E6%96%AF-c-1027/;Vans 万斯
http://www.i28.com/asics-%E4%BA%9A%E7%91%9F%E5%A3%AB-c-989/;Asics 亚瑟士
http://www.i28.com/fila-%E6%96%90%E4%B9%90-c-1311/;Fila 斐乐
http://www.i28.com/champion-%E5%86%A0%E5%86%9B-c-1310/;Champion 冠军
http://www.i28.com/puma-%E5%BD%AA%E9%A9%AC-c-1020/;Puma 彪马
http://www.i28.com/ugg-%E9%9B%AA%E5%9C%B0%E9%9D%B4-c-1175/;UGG 雪地靴
http://www.i28.com/%E5%84%BF%E7%AB%A5%E9%9E%8B-c-1025/;儿童鞋
http://www.i28.com/%E5%87%89%E6%8B%96%E9%9E%8B-c-1096/;凉拖鞋
http://www.i28.com/%E8%B6%B3%E7%90%83%E9%9E%8B-c-1061/;足球鞋
http://www.i28.com/%E6%9B%B4%E5%A4%9A%E8%BF%90%E5%8A%A8%E9%9E%8B-c-1319/;更多运动鞋
http://www.i28.com/%E6%9C%AA%E5%88%86%E7%B1%BB%E4%BA%A7%E5%93%81-c-1043/;未分类产品
